Protein_ID,Sequence_Length,DualEvo_Distances,DualEvo_Mean_Distance,SCREEN_Distances,SCREEN_Mean_Distance,Squidly_Distances,Squidly_Mean_Distance
P42790,587,"[0, 0, 86, 0]",21.5,"[0, 0, 86, 0]",21.5,[0],0.0
O26901,690,[341],341.0,"[25, 338, 341]",234.66666666666666,[],690.0
A0A166YZU9,392,[0],0.0,"[156, 86, 0]",80.66666666666667,[],392.0
P27874,430,"[308, 176, 0, 0]",121.0,"[176, 0, 0]",58.666666666666664,"[308, 226, 176]",236.66666666666666
Q06522,304,"[0, 146, 180]",108.66666666666667,"[71, 0, 1, 180]",63.0,[180],180.0
L0E155,667,"[0, 0]",0.0,[7],7.0,[],667.0
Q9VHV1,737,"[0, 2, 0, 0]",0.5,"[81, 88]",84.5,[0],0.0
Q98KK0,383,"[0, 0, 0]",0.0,"[0, 0, 57, 0, 17]",14.8,[],383.0
Q9Y7L4,409,"[0, 123, 0, 0, 0]",24.6,"[26, 123]",74.5,[90],90.0
P9WLL7,137,[50],50.0,"[6, 3, 50]",19.666666666666668,[],137.0
P33663,242,"[34, 30, 0, 16, 1, 0, 0, 94]",21.875,"[2, 1, 0, 0, 113]",23.2,[3],3.0
Q9JJN0,694,"[0, 0]",0.0,[107],107.0,[0],0.0
Q9SJA1,672,"[0, 0, 0]",0.0,"[5, 0, 0]",1.6666666666666667,"[0, 0]",0.0
P0CD62,966,"[0, 0]",0.0,[0],0.0,[0],0.0
Q01198,305,"[0, 0, 4]",1.3333333333333333,"[29, 0, 0, 4]",8.25,[4],4.0
Q4WEE0,236,[0],0.0,"[107, 97, 40, 0, 1]",49.0,[107],107.0
Q57749,294,"[36, 34, 32, 31, 20, 18, 9, 0, 1]",20.11111111111111,"[36, 34, 32, 31, 20, 18, 9, 0, 1]",20.11111111111111,[32],32.0
P34205,556,[],556.0,"[217, 45, 49, 118, 122]",110.2,[],556.0
O83859,366,[0],0.0,"[0, 28, 42, 156]",56.5,[0],0.0
Q54XL6,574,"[0, 0]",0.0,"[0, 2, 5]",2.3333333333333335,[0],0.0
D3KVM6,183,[1],1.0,[0],0.0,[],183.0
Q9ZI86,511,"[0, 0, 0]",0.0,"[0, 14, 0, 0, 54]",13.6,"[0, 0, 0]",0.0
Q9Z175,754,"[536, 471, 469, 209, 0, 0, 0]",240.71428571428572,[0],0.0,[],754.0
S0DQ98,338,[0],0.0,[162],162.0,[],338.0
B0R9W6,257,"[0, 0, 0, 0, 0, 0, 88]",12.571428571428571,"[2, 0, 0, 0, 25, 44, 153, 155]",47.375,[],257.0
O54571,239,"[18, 0, 26]",14.666666666666666,"[21, 9, 0]",10.0,[],239.0
C0SPA0,718,"[187, 2, 0, 0, 0]",37.8,"[185, 0, 2, 0]",46.75,"[0, 0]",0.0
Q7UK67,227,"[0, 0]",0.0,"[29, 0, 0, 49]",19.5,"[0, 0]",0.0
Q9HLE6,410,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 0]",0.3,"[5, 24, 41, 43, 0, 1, 0, 0]",14.25,[0],0.0
Q54CD6,697,[140],140.0,"[55, 23, 320, 324, 327]",209.8,[],697.0
Q5B998,368,"[0, 0, 0, 0]",0.0,"[0, 4, 0]",1.3333333333333333,[0],0.0
O45686,393,"[0, 3, 0]",1.0,"[0, 0, 62, 0, 0]",12.4,[],393.0
Q7XQZ6,445,"[0, 0, 0]",0.0,"[0, 2]",1.0,[],445.0
Q54Y55,506,"[0, 0]",0.0,"[0, 274]",137.0,[0],0.0
Q54F47,495,[0],0.0,"[139, 131, 130, 0]",100.0,[],495.0
Q1ZXC8,691,"[0, 0]",0.0,"[0, 2, 40, 150]",48.0,[0],0.0
Q8C2P3,475,"[0, 0, 0, 0]",0.0,"[0, 0, 0]",0.0,[],475.0
Q08548,619,"[38, 0]",19.0,[6],6.0,[0],0.0
P0CU70,538,[0],0.0,"[151, 0, 9]",53.333333333333336,[],538.0
Q503I8,644,"[0, 0, 0, 0, 0, 2, 0]",0.2857142857142857,"[0, 0, 0]",0.0,"[0, 0, 0]",0.0
P25472,584,"[0, 0]",0.0,"[85, 44, 0, 186]",78.75,"[0, 0]",0.0
J3K844,303,"[0, 0, 12, 0]",3.0,"[0, 0, 12, 2, 120]",26.8,"[0, 12]",6.0
Q9FI61,192,[0],0.0,[0],0.0,[0],0.0
P06279,549,"[0, 0, 0]",0.0,"[2, 0, 0, 1, 0]",0.6,"[0, 0]",0.0
O16977,651,"[0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 4, 48]",8.666666666666666,[0],0.0
Q9F3C7,314,[0],0.0,[],314.0,[],314.0
C0QRQ2,403,"[2, 0, 27]",9.666666666666666,[0],0.0,[],403.0
Q3E989,512,"[0, 0, 0, 0]",0.0,"[0, 0, 0, 0]",0.0,"[0, 0]",0.0
C0LGK4,915,[0],0.0,[],915.0,[0],0.0
P41963,199,"[0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 26]",13.0,[],199.0
Q7ZVS8,743,"[0, 0, 0, 0]",0.0,"[0, 37]",18.5,[0],0.0
Q7Z5A4,293,"[0, 0, 0]",0.0,"[0, 0, 2, 0, 1]",0.6,"[0, 0, 0]",0.0
Q74CU0,880,"[489, 487, 428, 402, 401, 0, 0]",315.2857142857143,"[489, 487, 403, 401, 351, 160, 98, 57, 13]",273.22222222222223,[493],493.0
O29867,868,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 35, 0, 66, 0]",20.2,[],868.0
Q1ECV4,771,"[0, 0]",0.0,"[232, 47, 0, 24, 120, 135]",93.0,[],771.0
Q9S850,393,"[0, 0, 0]",0.0,"[0, 0, 34]",11.333333333333334,[],393.0
Q9FXG2,463,"[34, 4, 11, 22]",17.75,"[0, 0, 32, 43, 4, 29, 33, 87]",28.5,[],463.0
Q796K8,704,"[397, 0]",198.5,"[233, 0, 3, 54, 216]",101.2,[],704.0
O57712,389,"[0, 0, 0, 0, 6, 0, 0]",0.8571428571428571,"[0, 3, 0]",1.0,[0],0.0
B0G0Y8,466,"[0, 0, 0, 0, 3, 0]",0.5,"[104, 0, 0, 0, 3, 29]",22.666666666666668,[0],0.0
Q9K8X1,427,"[0, 0, 4, 7]",2.75,"[6, 0, 4]",3.3333333333333335,[],427.0
E6R427,286,"[14, 0, 0, 0, 0]",2.8,"[0, 0, 0, 30]",7.5,[],286.0
Q54TH6,597,"[0, 0]",0.0,"[0, 0, 2]",0.6666666666666666,[0],0.0
Q84MA1,599,"[0, 5, 0, 0, 6, 23, 0]",4.857142857142857,"[0, 3]",1.5,[0],0.0
P45951,536,"[2, 0, 0, 0, 0, 0]",0.3333333333333333,"[1, 0, 14, 0, 0, 0]",2.5,"[0, 0, 0]",0.0
E5A7D6,551,[0],0.0,"[154, 0]",77.0,[],551.0
Q20085,468,"[0, 0]",0.0,"[0, 0, 2]",0.6666666666666666,[0],0.0
Q9YDW0,471,"[0, 0, 53]",17.666666666666668,"[0, 22, 10, 2, 50, 26, 9]",17.0,[],471.0
Q7RX33,876,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 316]",29.0,"[0, 320]",160.0,[0],0.0
Q9N2V9,760,"[0, 0, 0, 0, 3, 0, 3]",0.8571428571428571,"[1, 0, 0, 3, 29, 21]",9.0,[0],0.0
A5JTM5,269,"[0, 8]",4.0,"[26, 0, 5]",10.333333333333334,[],269.0
P83179,140,"[63, 26, 68]",52.333333333333336,"[9, 11, 26]",15.333333333333334,[26],26.0
Q8C015,719,"[0, 0]",0.0,"[16, 0, 2]",6.0,[0],0.0
Q06584,689,"[468, 0, 1, 0, 0]",93.8,"[1, 0]",0.5,[1],1.0
Q9RV39,434,"[0, 39, 46, 53, 79, 80, 101, 133, 165]",77.33333333333333,"[10, 0, 29, 79, 80, 83, 133]",59.142857142857146,[],434.0
Q7M438,223,"[0, 1, 0, 0]",0.25,"[0, 0, 0]",0.0,"[0, 0, 0]",0.0
P28321,313,"[0, 0, 0]",0.0,"[0, 0, 0]",0.0,"[0, 0, 0]",0.0
Q83GI1,293,"[92, 90, 0, 0]",45.5,"[92, 90, 0, 2, 0, 58]",40.333333333333336,"[0, 0]",0.0
O22827,198,"[16, 0]",8.0,"[36, 16, 18]",23.333333333333332,[],198.0
Q8NB12,490,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 22]",11.0,[],490.0
Q6ZQ88,853,"[0, 0, 211, 0]",52.75,"[1, 40]",20.5,[],853.0
P53314,239,"[0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0]",0.0,"[0, 0]",0.0
Q03161,297,"[0, 0, 1, 0, 0, 0, 0]",0.14285714285714285,"[1, 0, 0]",0.3333333333333333,"[0, 0]",0.0
P47473,721,"[0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0]",1.75,"[0, 0, 0, 0, 99, 0]",16.5,[0],0.0
Q8W583,190,[0],0.0,[],190.0,[0],0.0
Q7MUW6,732,"[0, 0, 0]",0.0,"[298, 0, 1, 36, 0, 0]",55.833333333333336,"[0, 0, 0]",0.0
Q83WC3,277,"[76, 71, 31, 30, 27, 26]",43.5,[53],53.0,[],277.0
P10478,837,"[473, 415, 385, 343, 341, 230, 0, 0]",273.375,"[473, 415, 385, 0, 0, 2]",212.5,"[0, 0]",0.0
Q8RV79,351,"[0, 0]",0.0,"[65, 0, 0]",21.666666666666668,"[0, 0]",0.0
Q99396,572,"[0, 0]",0.0,"[74, 105]",89.5,[],572.0
Q8SV03,411,"[0, 0, 106]",35.333333333333336,"[0, 0, 148]",49.333333333333336,"[0, 0]",0.0
Q9YD20,163,"[0, 0, 0, 0]",0.0,[],163.0,[],163.0
P25524,427,"[0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0]",0.0,[0],0.0
H2VFI5,377,"[112, 90, 72]",91.33333333333333,"[201, 112, 7, 91]",102.75,[],377.0
O59923,519,"[52, 49, 0, 0, 0, 0, 0, 0]",12.625,"[92, 91, 89, 19, 17, 0]",51.333333333333336,[0],0.0
O13924,488,"[0, 0]",0.0,"[0, 0]",0.0,[0],0.0
Q6QWR1,621,[0],0.0,"[0, 0]",0.0,"[0, 0]",0.0
P04390,245,"[0, 0]",0.0,[0],0.0,[0],0.0
Q10056,589,"[0, 0]",0.0,"[144, 0, 2, 5, 38]",37.8,[0],0.0
O67766,126,"[0, 8, 0]",2.6666666666666665,"[57, 0, 4]",20.333333333333332,[],126.0
P95442,481,"[0, 0, 0, 3, 35, 0]",6.333333333333333,"[62, 0, 35, 29]",31.5,"[35, 0]",17.5
P22320,488,"[0, 0, 67, 0, 0]",13.4,"[151, 2, 0, 0, 27]",36.0,[],488.0
A9A1T2,457,"[46, 38, 3, 0, 4, 0, 216]",43.857142857142854,[0],0.0,[],457.0
Q8T2I5,480,"[0, 0]",0.0,"[0, 31, 0, 0, 96]",25.4,"[0, 0, 0]",0.0
A1JHZ3,331,[0],0.0,"[0, 31, 2, 0, 2, 9]",7.333333333333333,[0],0.0
I6Y778,454,"[7, 0]",3.5,"[35, 7, 0, 0]",10.5,[0],0.0
A2BJB7,411,"[0, 0]",0.0,[],411.0,[0],0.0
Q04458,532,"[97, 0, 0]",32.333333333333336,"[97, 0, 0, 165]",65.5,"[0, 0]",0.0
Q58DB6,537,"[0, 0, 0]",0.0,"[0, 22]",11.0,"[0, 0]",0.0
Q51507,101,"[0, 0, 0, 8, 12, 0]",3.3333333333333335,"[0, 0]",0.0,[],101.0
I1S2J5,505,[0],0.0,"[141, 137, 74, 0]",88.0,[],505.0
F9US27,490,"[0, 1, 0, 0]",0.25,"[21, 0, 4]",8.333333333333334,[],490.0
Q8L7S3,809,"[442, 436, 432, 278, 273, 167, 0, 21, 16, 0, 0, 0, 70]",164.23076923076923,"[436, 202, 0, 70]",177.0,"[0, 70]",35.0
P30899,321,"[0, 3, 64]",22.333333333333332,"[0, 3, 64, 101, 171, 174]",85.5,"[0, 64]",32.0
P21338,268,"[0, 0]",0.0,"[0, 3, 0, 0]",0.75,"[0, 0, 0]",0.0
P80874,331,"[0, 0, 0, 11]",2.75,"[31, 0, 41, 11, 6]",17.8,[0],0.0
G5EFL0,845,"[0, 0]",0.0,[88],88.0,[],845.0
P9WLH5,364,"[0, 0, 0, 0, 0, 28, 24, 0, 67]",13.222222222222221,"[0, 0, 0, 0, 0, 11, 24, 0, 67]",11.333333333333334,"[0, 0, 0, 67]",16.75
B9WCV6,930,"[0, 0, 0, 0, 0, 23, 0, 0]",2.875,"[73, 0, 0, 0, 0, 23, 0]",13.714285714285714,[],930.0
H1AAP2,219,"[0, 0, 0]",0.0,"[0, 2, 4, 0, 0]",1.2,[0],0.0
Q09109,749,"[0, 0, 0, 0, 202, 315, 413, 422]",169.0,"[8, 0, 267]",91.66666666666667,[],749.0
O58832,342,"[0, 20, 0, 21, 0]",8.2,"[0, 20, 0, 21, 0]",8.2,[],342.0
Q12608,517,[0],0.0,"[330, 225, 137, 133, 0]",165.0,[],517.0
Q7M826,319,"[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0]",0.38461538461538464,[30],30.0,[],319.0
O74426,338,"[0, 0]",0.0,"[0, 2, 5, 43]",12.5,[0],0.0
Q5NAI7,512,"[0, 0, 195, 0]",48.75,"[159, 8]",83.5,[],512.0
P80909,79,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[1, 0]",0.5,[],79.0
P0C218,761,[],761.0,"[23, 309, 313]",215.0,[],761.0
Q9KL03,173,"[38, 43, 50]",43.666666666666664,[0],0.0,[50],50.0
P85999,51,[0],0.0,[0],0.0,[],51.0
F4I107,388,"[130, 0, 0, 0]",32.5,"[0, 1, 0, 0]",0.25,"[0, 0]",0.0
Q9Y899,404,"[0, 0]",0.0,"[0, 2, 21, 42, 45]",22.0,[0],0.0
O35000,242,[0],0.0,"[0, 0]",0.0,"[0, 0, 0, 0]",0.0
Q11010,857,"[0, 0, 0, 0, 0]",0.0,"[57, 31, 30, 0, 0, 0, 0, 0]",14.75,[0],0.0
Q7Z5W3,292,[0],0.0,[0],0.0,[],292.0
Q9ZGH1,485,"[0, 0, 0]",0.0,"[0, 0, 0, 94]",23.5,[],485.0
P42778,408,"[0, 0, 0, 0, 0, 0]",0.0,"[108, 1, 0, 1, 0, 0]",18.333333333333332,[],408.0
Q58826,359,"[0, 0, 0, 143]",35.75,"[0, 0, 0, 35, 244]",55.8,[],359.0
Q10039,742,[2],2.0,"[150, 86, 0, 21, 19, 8, 89, 90, 114, 115, 5, 0]",58.083333333333336,[],742.0
B2V8P5,206,"[1, 13, 0, 0]",3.5,"[0, 15, 17, 20, 6]",11.6,[0],0.0
Q9NGP6,410,"[0, 0, 0, 0]",0.0,"[0, 43, 0, 1, 0, 60, 93]",28.142857142857142,[0],0.0
P85142,62,[0],0.0,"[2, 0]",1.0,[0],0.0
P0DOV3,210,"[11, 8, 0, 0, 0, 0, 0, 0, 8, 5, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]",1.5909090909090908,"[16, 5]",10.5,[],210.0
Q27895,628,"[163, 48, 0, 46]",64.25,[],628.0,[],628.0
P76290,247,[43],43.0,[],247.0,[],247.0
Q9SR40,567,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0]",0.23076923076923078,[],567.0
Q9Z2D7,554,"[440, 0]",220.0,[],554.0,[0],0.0
Q6CH28,545,"[0, 0, 0]",0.0,"[0, 0]",0.0,"[0, 0]",0.0
P39153,346,[0],0.0,"[2, 0, 0, 0, 1]",0.6,[],346.0
O16881,388,"[13, 0]",6.5,"[147, 40, 13, 0, 4]",40.8,"[0, 4]",2.0
Q9V6K3,724,"[0, 0]",0.0,"[250, 137, 0, 4]",97.75,[0],0.0
Q8VHL1,366,[0],0.0,"[0, 24, 20, 12, 0]",11.2,[],366.0
B8D1G6,347,"[0, 32]",16.0,"[138, 0, 29, 168]",83.75,[0],0.0
Q5YQZ6,552,"[0, 0, 11, 0, 0, 76]",14.5,"[0, 0, 11, 18, 26]",11.0,[0],0.0
P32138,678,"[0, 0, 17, 0, 32]",9.8,"[2, 45, 0, 0, 17, 0, 32]",13.714285714285714,"[0, 0, 0]",0.0
Q00983,260,"[0, 3, 48, 138]",47.25,"[0, 3, 138]",47.0,"[0, 87]",43.5
Q55EC7,960,"[0, 0]",0.0,"[0, 39]",19.5,[0],0.0
O59179,441,[0],0.0,"[0, 1, 18, 163]",45.5,[0],0.0
E9QCD3,513,[0],0.0,"[28, 11, 8, 3, 2, 1, 6, 319]",47.25,[0],0.0
Q9YFM7,308,"[27, 27, 33, 0]",21.75,"[38, 37, 33, 33, 31]",34.4,[],308.0
Q4WR17,580,[0],0.0,"[296, 133, 71, 0]",125.0,[],580.0
Q4WQI1,775,"[0, 0, 202]",67.33333333333333,"[0, 16]",8.0,"[0, 0]",0.0
Q86AT8,638,"[0, 0]",0.0,[0],0.0,[0],0.0
P27574,550,[0],0.0,"[97, 32, 0, 6, 7]",28.4,[0],0.0
P45436,508,"[0, 0]",0.0,"[0, 0]",0.0,"[0, 0]",0.0
Q6AHF2,389,"[41, 0, 0]",13.666666666666666,"[31, 4, 0, 6, 3, 2, 0]",6.571428571428571,[],389.0
I6WU39,101,"[0, 3]",1.5,"[0, 7, 0, 3, 21]",6.2,[],101.0
O31857,221,"[0, 1, 0, 0]",0.25,"[0, 1, 0, 31, 40, 9, 3, 0, 29]",12.555555555555555,[],221.0
Q6GLK2,222,[],222.0,"[7, 0]",3.5,[0],0.0
Q5ZX15,350,"[1, 0, 0]",0.3333333333333333,"[0, 0, 0]",0.0,"[0, 0]",0.0
P39074,297,"[0, 26, 0, 0, 0, 0, 2, 0]",3.5,[],297.0,"[26, 0]",13.0
Q9STK6,516,[2],2.0,"[2, 0, 3, 19]",6.0,[2],2.0
Q74NA6,392,"[0, 0]",0.0,[11],11.0,[],392.0
Q55CE0,677,"[0, 0]",0.0,[0],0.0,[0],0.0
Q92383,228,"[0, 0]",0.0,"[0, 0, 41]",13.666666666666666,[0],0.0
P13502,92,"[0, 0, 0, 0]",0.0,"[0, 1, 0, 0, 1, 0, 14]",2.2857142857142856,[],92.0
Q87P32,387,[],387.0,"[11, 3]",7.0,[],387.0
Q9PF20,262,"[0, 0]",0.0,"[1, 0, 0, 0, 20, 72, 74]",23.857142857142858,[],262.0
Q08968,688,"[0, 0, 0, 0, 0, 0, 20, 338]",44.75,"[0, 338]",169.0,[],688.0
Q8PYS1,295,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 0, 3]",0.5,[],295.0
Q9ZPY1,198,[],198.0,"[0, 60]",30.0,[],198.0
Q6AUC6,513,"[0, 0, 2]",0.6666666666666666,"[0, 0, 3, 2, 23]",5.6,[0],0.0
Q7LKZ6,669,"[0, 104, 225]",109.66666666666667,"[1, 0, 104, 225]",82.5,"[104, 225]",164.5
Q9N0F3,518,"[0, 48, 0]",16.0,"[17, 15, 13, 1, 2, 48, 35, 32, 6]",18.77777777777778,[],518.0
P14529,326,[0],0.0,"[105, 4, 2, 0, 67, 145]",53.833333333333336,[0],0.0
P06652,596,[0],0.0,"[32, 3]",17.5,[0],0.0
Q01490,203,"[2, 4]",3.0,"[66, 61, 58, 19, 8, 1, 5]",31.142857142857142,[],203.0
A0A0K0JFP3,572,"[69, 45, 0]",38.0,"[0, 15, 0, 0]",3.75,[0],0.0
Q9ACU1,564,"[254, 250, 247, 243, 242, 133, 130, 127, 126, 50, 0, 0, 5, 0, 0, 0, 0]",106.29411764705883,"[254, 251, 184, 164, 0, 0, 57, 0]",113.75,"[0, 0]",0.0
P38694,644,"[0, 0]",0.0,"[0, 0, 0, 216]",54.0,"[0, 0]",0.0
P86226,221,[],221.0,"[0, 42, 119]",53.666666666666664,[],221.0
P69816,106,[0],0.0,"[0, 5, 6]",3.6666666666666665,[],106.0
Q03942,479,[0],0.0,[0],0.0,[],479.0
Q86AH1,640,"[20, 18, 0, 16, 0, 0]",9.0,"[253, 49, 45, 0, 0, 35]",63.666666666666664,[0],0.0
Q0E2Y1,551,[],551.0,"[3, 0, 0, 4, 3, 0]",1.6666666666666667,[0],0.0
Q97VT7,314,"[0, 0, 0, 0, 0, 23, 0]",3.2857142857142856,"[0, 0, 0, 0, 0, 0]",0.0,[0],0.0
Q98RC3,157,"[0, 0]",0.0,"[39, 0]",19.5,[0],0.0
Q8K009,923,"[97, 0, 4, 0, 61, 90, 0, 0]",31.5,"[0, 0, 99, 0, 0]",19.8,"[0, 0]",0.0
Q338P6,329,"[0, 14, 64, 0]",19.5,[],329.0,[],329.0
P11928,367,"[0, 0, 0, 0, 0]",0.0,[1],1.0,[0],0.0
P22751,749,"[407, 0, 0, 0, 0]",81.4,"[444, 2, 2, 0, 52]",100.0,[0],0.0
Q8MYF1,456,"[0, 0]",0.0,"[0, 2, 4, 5, 38, 196]",40.833333333333336,[0],0.0
Q9FE17,473,"[0, 0, 0, 0, 0, 0]",0.0,"[72, 69, 19, 0]",40.0,[0],0.0
O94266,551,"[0, 290, 327, 380, 384, 410, 452]",320.42857142857144,"[137, 140, 182, 290, 293, 323, 327, 380, 410, 452]",293.4,[452],452.0
O50078,540,"[68, 0]",34.0,"[0, 2, 11, 0, 2, 73, 71, 69, 45]",30.333333333333332,[0],0.0
F1SYB2,517,[0],0.0,"[138, 2]",70.0,[],517.0
Q9FMY3,341,"[0, 0]",0.0,"[0, 0, 2, 5]",1.75,[0],0.0
P40084,226,"[0, 0, 0, 0]",0.0,"[6, 10]",8.0,[],226.0
Q05688,640,"[0, 0]",0.0,"[17, 2, 0, 4]",5.75,[0],0.0
O06995,226,"[0, 0, 0, 0]",0.0,"[0, 2, 0]",0.6666666666666666,"[0, 0]",0.0
Q4FM31,371,"[0, 0, 56, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0]",4.357142857142857,"[0, 47, 0, 2, 0, 0, 2, 4]",6.875,[],371.0
Q8UJ09,259,"[0, 30, 0, 0]",7.5,"[0, 0, 0, 33]",8.25,"[0, 0, 0]",0.0
Q9LJK1,501,[0],0.0,"[37, 38]",37.5,[],501.0
Q940L4,649,"[0, 0, 0, 10]",2.5,"[202, 0, 0, 0]",50.5,"[0, 0, 0]",0.0
Q82P90,481,"[0, 0, 0, 17]",4.25,"[0, 0, 0]",0.0,"[0, 0, 0]",0.0
Q8W490,470,"[0, 0]",0.0,"[0, 2, 5, 37, 40]",16.8,[0],0.0
I6WZK7,504,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]",0.4166666666666667,"[0, 0, 0, 0, 52, 78, 0, 0, 0, 0, 0, 0, 0, 5]",9.642857142857142,[0],0.0
D4AJR9,457,"[0, 0]",0.0,"[0, 2]",1.0,[0],0.0
A8FAP9,230,"[0, 0, 26]",8.666666666666666,"[0, 0, 25, 30, 28, 21]",17.333333333333332,[],230.0
P10955,505,"[81, 0]",40.5,"[94, 240]",167.0,[],505.0
L0DSL2,553,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[12, 0, 1, 3, 0]",3.2,[],553.0
P50139,332,"[3, 0, 0]",1.0,"[1, 0, 48]",16.333333333333332,[0],0.0
P94544,570,"[0, 0, 0, 5, 0, 0, 0, 0, 0, 0]",0.5,"[2, 27, 0, 5, 0, 0, 2, 0, 0, 0]",3.6,[],570.0
Q7Y220,649,"[0, 0, 7]",2.3333333333333335,"[0, 0, 0]",0.0,"[0, 0, 0]",0.0
O87393,435,"[0, 0, 5, 0, 0, 0, 12]",2.4285714285714284,"[0, 0, 0]",0.0,[],435.0
Q6B516,760,"[0, 0, 0, 0, 0, 262]",43.666666666666664,"[1, 0]",0.5,[0],0.0
P44176,274,"[0, 0, 0, 0, 0, 0, 0, 27, 0, 0]",2.7,"[0, 0, 0, 1, 0, 0, 0, 0]",0.125,[0],0.0
P23857,104,[0],0.0,"[0, 1]",0.5,[0],0.0
Q9FFB6,291,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 28, 36, 48, 51, 87, 90, 105, 108]",28.1,"[0, 0, 0, 30, 33, 114]",29.5,[],291.0
Q01402,233,"[0, 0, 0]",0.0,"[0, 0, 0, 11]",2.75,[0],0.0
G3KIM8,394,"[0, 27]",13.5,"[26, 0]",13.0,[0],0.0
P07003,572,"[0, 0, 0]",0.0,"[2, 0]",1.0,[],572.0
P54746,877,"[0, 0, 0, 56, 0]",11.2,"[0, 34, 0, 96, 0, 6, 7, 189]",41.5,[0],0.0
Q09693,506,"[0, 0]",0.0,"[0, 87]",43.5,[],506.0
Q8W566,337,"[0, 0, 41, 0, 0]",8.2,"[7, 0]",3.5,[0],0.0
F4HWL4,748,[0],0.0,"[319, 316, 3, 0]",159.5,[],748.0
P82902,52,"[0, 4]",2.0,[43],43.0,[],52.0
Q20443,441,"[0, 0]",0.0,"[0, 2, 5]",2.3333333333333335,[0],0.0
O74429,920,[],920.0,"[2, 0, 75]",25.666666666666668,[76],76.0
E1WKT5,318,"[0, 7, 0, 4, 0]",2.2,"[26, 25, 0, 5, 0, 4, 0]",8.571428571428571,[],318.0
Q9AL94,54,"[0, 0, 0, 0]",0.0,"[2, 10, 0]",4.0,[],54.0
Q949R4,269,"[0, 0, 56, 0, 0]",11.2,"[0, 0, 57, 56, 0, 0]",18.833333333333332,[],269.0
Q22710,414,"[0, 0, 0, 0]",0.0,"[0, 0, 0, 0, 4, 56, 111]",24.428571428571427,[0],0.0
P90518,719,"[271, 198, 0, 0]",117.25,"[198, 0, 1, 0, 31]",46.0,[],719.0
P44570,241,"[2, 0, 0, 0]",0.5,"[66, 9, 0, 6, 0, 0]",13.5,[0],0.0
B2KES3,221,"[0, 0, 0, 0, 0]",0.0,[0],0.0,[],221.0
C4JUE5,349,"[0, 0, 0, 14, 0]",2.8,"[0, 0, 14, 2, 129]",29.0,"[0, 14]",7.0
Q8VZJ9,411,"[0, 0]",0.0,"[0, 0, 5, 42]",11.75,[0],0.0
Q93Z01,353,"[165, 0]",82.5,"[165, 3, 2, 0]",42.5,[0],0.0
P36069,295,"[1, 0, 35, 0]",9.0,"[0, 0, 0]",0.0,"[0, 0]",0.0
O01775,357,"[0, 0]",0.0,"[0, 2]",1.0,[0],0.0
P43154,814,"[0, 0, 0, 24, 68]",18.4,"[0, 68]",34.0,[0],0.0
B3PIB0,358,"[35, 0, 0, 0, 0]",7.0,"[0, 0, 1, 0]",0.25,"[0, 0, 0]",0.0
Q4V399,433,"[0, 0, 0, 0]",0.0,[],433.0,[],433.0
Q95WU5,761,"[0, 0, 0]",0.0,"[0, 1, 0, 2]",0.75,"[0, 0]",0.0
S0DPM1,530,[0],0.0,"[144, 0]",72.0,[],530.0
Q12305,139,[0],0.0,"[0, 2, 5]",2.3333333333333335,[0],0.0
A9CKY2,276,"[0, 0, 1, 0, 0, 0, 0]",0.14285714285714285,"[0, 0, 1, 0, 0, 0]",0.16666666666666666,"[1, 0, 0]",0.3333333333333333
P22857,394,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[0, 0, 31, 0, 2, 0, 0, 0, 0, 0, 0]",3.0,"[0, 0]",0.0
P16692,252,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,"[2, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 22, 0, 0]",3.2857142857142856,[],252.0
Q9U1Y5,476,"[0, 0]",0.0,"[0, 2, 20]",7.333333333333333,[0],0.0
K0KPV8,393,"[0, 0, 0]",0.0,"[66, 0, 0, 0]",16.5,[],393.0
