Protein_ID,Sequence_Length,Num_True_Catalytic_Residues,True_Catalytic_Sites,Predicted_Catalytic_Sites
P04390,245,4,"[45, 74, 90, 92]",[92]
Q10056,589,2,"[343, 434]","[199, 434, 436, 439, 472]"
O67766,126,3,"[76, 78, 97]","[19, 76, 82]"
P95442,481,4,"[74, 76, 245, 331]","[138, 245, 280, 302]"
P22320,488,4,"[62, 65, 458, 461]","[307, 456, 458, 461, 488]"
A9A1T2,457,2,"[148, 190]",[190]
Q8T2I5,480,3,"[25, 114, 116]","[25, 83, 114, 116, 212]"
A1JHZ3,331,8,"[12, 104, 129, 156, 164, 213, 224, 245]","[12, 73, 127, 129, 131, 173]"
I6Y778,454,5,"[244, 354, 360, 364, 395]","[319, 347, 360, 364]"
A2BJB7,411,4,"[50, 89, 99, 110]",[]
Q04458,532,2,"[236, 273]","[139, 236, 273, 438]"
Q58192,673,4,"[42, 45, 61, 64]",[192]
Q58DB6,537,3,"[273, 275, 501]","[275, 479]"
Q51507,101,4,"[14, 31, 42, 90]","[14, 42]"
I1S2J5,505,1,[450],"[309, 313, 376, 450]"
F9US27,490,4,"[165, 187, 233, 289]","[144, 165, 293]"
Q8L7S3,809,4,"[536, 586, 704, 732]","[100, 334, 732, 802]"
P30899,321,1,[83],"[83, 86, 147, 184, 254, 257]"
P21338,268,3,"[78, 152, 156]","[78, 81, 152, 156]"
P80874,331,7,"[52, 57, 84, 175, 214, 227, 286]","[21, 84, 125, 203, 208]"
G5EFL0,845,2,"[139, 141]",[229]
P9WLH5,364,6,"[8, 49, 73, 123, 172, 246]","[8, 49, 73, 123, 172, 183, 222, 246, 313]"
B9WCV6,930,7,"[177, 189, 222, 223, 248, 319, 320]","[104, 177, 189, 222, 223, 296, 320]"
H1AAP2,219,3,"[44, 97, 100]","[44, 46, 48, 97, 100]"
Q09109,749,4,"[232, 252, 260, 280]","[244, 280, 547]"
O58832,342,3,"[59, 163, 287]","[59, 79, 163, 184, 287]"
Q12608,517,1,[461],"[131, 236, 324, 328, 461]"
Q7M826,319,12,"[51, 56, 59, 71, 148, 151, 154, 158, 204, 207, 210, 214]",[244]
O74426,338,2,"[59, 151]","[151, 153, 156, 194]"
Q5NAI7,512,3,"[38, 46, 476]","[317, 484]"
P80909,79,8,"[13, 16, 19, 23, 49, 52, 55, 59]","[14, 59]"
P0C218,761,2,"[48, 53]","[76, 362, 366]"
Q9KL03,173,4,"[33, 41, 75, 84]",[84]
P85999,51,2,"[30, 31]",[30]
F4I107,388,3,"[187, 283, 349]","[187, 188, 283, 349]"
Q9Y899,404,2,"[47, 141]","[141, 143, 162, 183, 186]"
O35000,242,4,"[67, 136, 138, 143]","[67, 138]"
Q11010,857,6,"[130, 298, 299, 302, 321, 386]","[187, 267, 268, 298, 299, 302, 321, 386]"
Q7Z5W3,292,4,"[46, 76, 110, 164]",[110]
Q9ZGH1,485,3,"[141, 145, 148]","[141, 145, 148, 242]"
P42778,408,6,"[250, 316, 340, 345, 376, 378]","[142, 249, 250, 339, 376, 378]"
Q58826,359,3,"[59, 63, 66]","[59, 63, 66, 101, 310]"
Q10039,742,3,"[309, 360, 593]","[159, 223, 309, 339, 341, 352, 449, 450, 474, 478, 588, 593]"
B2V8P5,206,4,"[40, 69, 70, 185]","[69, 85, 87, 165, 191]"
Q9NGP6,410,6,"[12, 121, 122, 148, 151, 266]","[12, 78, 148, 149, 151, 326, 359]"
P85142,62,1,[48],"[46, 48]"
P0DOV3,210,18,"[67, 70, 71, 88, 91, 92, 140, 143, 144, 152, 155, 156, 186, 189, 190, 205, 208, 209]","[124, 135]"
Q27895,628,1,[236],[]
P76290,247,3,"[39, 132, 199]",[]
Q9SR40,567,11,"[81, 83, 126, 128, 468, 471, 473, 530, 531, 532, 536]","[81, 83, 126, 128, 466, 468, 471, 473, 530, 531, 532, 533, 536]"
Q9Z2D7,554,1,[534],[]
Q6CH28,545,3,"[120, 323, 325]","[120, 323]"
P39153,346,12,"[40, 63, 67, 72, 123, 127, 147, 149, 157, 187, 201, 240]","[61, 127, 149, 187, 239]"
O16881,388,1,[188],"[41, 148, 175, 188, 192]"
Q9V6K3,724,2,"[475, 580]","[225, 338, 580, 584]"
Q8VHL1,366,4,"[245, 317, 335, 356]","[245, 293, 297, 305, 335]"
B8D1G6,347,1,[150],"[12, 150, 179, 318]"
Q5YQZ6,552,6,"[91, 156, 195, 236, 427, 429]","[91, 156, 247, 409, 455]"
P32138,678,5,"[288, 405, 408, 472, 537]","[286, 333, 405, 408, 455, 472, 504]"
Q00983,260,1,[63],"[63, 66, 201]"
Q55EC7,960,2,"[48, 140]","[140, 179]"
O59179,441,2,"[97, 138]","[97, 98, 120, 301]"
E9QCD3,513,1,[194],"[166, 183, 186, 191, 192, 193, 200, 513]"
Q9YFM7,308,6,"[90, 92, 160, 190, 243, 272]","[52, 53, 125, 127, 129]"
Q4WR17,580,1,[497],"[201, 364, 426, 497]"
Q4WQI1,775,2,"[64, 419]","[419, 435]"
Q86AT8,638,2,"[378, 472]",[472]
P27574,550,1,[470],"[373, 438, 470, 476, 477]"
P45436,508,2,"[317, 360]","[317, 360]"
Q6AHF2,389,4,"[70, 139, 205, 303]","[101, 135, 205, 297, 300, 301, 303]"
I6WU39,101,6,"[5, 31, 34, 37, 72, 75]","[5, 12, 72, 78, 96]"
O31857,221,3,"[11, 14, 125]","[11, 13, 14, 45, 85, 116, 122, 125, 154]"
Q6GLK2,222,2,"[148, 172]","[141, 148]"
Q5ZX15,350,8,"[45, 66, 144, 205, 226, 231, 248, 251]","[144, 231, 248]"
P39074,297,6,"[42, 94, 213, 216, 218, 273]",[]
Q9STK6,516,2,"[152, 169]","[150, 152, 155, 188]"
Q74NA6,392,8,"[45, 48, 55, 57, 106, 129, 148, 157]",[95]
Q55CE0,677,2,"[428, 519]",[519]
Q92383,228,2,"[150, 170]","[150, 170, 211]"
P13502,92,4,"[55, 58, 75, 78]","[55, 57, 58, 75, 77, 78, 92]"
Q87P32,387,1,[359],"[348, 356]"
Q9PF20,262,4,"[8, 9, 40, 92]","[7, 8, 9, 92, 112, 164, 166]"
Q08968,688,6,"[156, 220, 227, 338, 339, 348]","[348, 686]"
Q8PYS1,295,10,"[51, 54, 83, 90, 94, 99, 100, 174, 175, 212]","[51, 54, 94, 99, 174, 215]"
Q9ZPY1,198,2,"[42, 66]","[42, 126]"
Q6AUC6,513,9,"[76, 79, 309, 316, 320, 350, 354, 403, 406]","[76, 79, 313, 348, 380]"
Q7LKZ6,669,1,[400],"[399, 400, 504, 625]"
Q9N0F3,518,3,"[345, 352, 453]","[328, 330, 332, 344, 350, 405, 418, 421, 459]"
P14529,326,1,[151],"[46, 147, 149, 151, 218, 296]"
P06652,596,1,[480],"[448, 483]"
Q01490,203,1,[147],"[81, 86, 89, 128, 139, 148, 152]"
A0A0K0JFP3,572,7,"[185, 239, 263, 266, 297, 331, 483]","[185, 200, 239, 297]"
Q9ACU1,564,8,"[329, 334, 346, 377, 378, 380, 497, 515]","[75, 78, 145, 165, 329, 346, 440, 497]"
P38694,644,3,"[248, 354, 389]","[248, 354, 389, 605]"
P86226,221,2,"[1, 5]","[5, 47, 124]"
P69816,106,1,[10],"[10, 15, 16]"
Q03942,479,1,[324],[324]
Q86AH1,640,3,"[460, 554, 594]","[207, 411, 415, 460, 594, 629]"
Q0E2Y1,551,9,"[254, 255, 312, 340, 378, 394, 413, 417, 419]","[309, 312, 340, 374, 375, 417]"
Q97VT7,314,6,"[22, 24, 137, 170, 199, 256]","[22, 24, 137, 170, 199, 256]"
Q98RC3,157,5,"[50, 52, 65, 67, 83]","[11, 67]"
Q8K009,923,4,"[128, 164, 694, 728]","[128, 164, 595, 694, 728]"
Q338P6,329,2,"[163, 299]",[]
P11928,367,7,"[64, 76, 78, 149, 211, 214, 231]",[232]
P22751,749,5,"[538, 562, 563, 566, 595]","[94, 536, 568, 595, 647]"
Q8MYF1,456,2,"[157, 251]","[251, 253, 255, 256, 289, 447]"
Q9FE17,473,6,"[134, 142, 145, 167, 172, 253]","[62, 65, 115, 134]"
O94266,551,1,[76],"[213, 216, 258, 366, 369, 399, 403, 456, 486, 528]"
O50078,540,3,"[187, 225, 458]","[187, 189, 214, 225, 227, 385, 387, 389, 503]"
F1SYB2,517,1,[453],"[315, 451]"
Q9FMY3,341,2,"[51, 153]","[51, 153, 155, 158]"
P40084,226,4,"[73, 78, 112, 116]","[106, 126]"
Q05688,640,2,"[306, 408]","[323, 406, 408, 412]"
O06995,226,9,"[7, 9, 23, 50, 76, 114, 145, 169, 170]","[114, 116, 145]"
Q4FM31,371,11,"[15, 22, 148, 201, 221, 223, 247, 255, 278, 346, 355]","[22, 101, 201, 203, 221, 247, 249, 259]"
Q8UJ09,259,3,"[104, 168, 200]","[104, 168, 200, 233]"
Q9LJK1,501,4,"[218, 219, 226, 243]","[280, 281]"
Q940L4,649,3,"[385, 446, 560]","[183, 385, 446, 560]"
Q82P90,481,8,"[47, 162, 186, 223, 287, 321, 379, 475]","[47, 162, 223]"
Q8W490,470,2,"[136, 224]","[224, 226, 229, 261, 264]"
I6WZK7,504,11,"[120, 122, 161, 163, 437, 440, 442, 485, 486, 487, 491]","[120, 122, 161, 163, 215, 241, 437, 440, 442, 485, 486, 487, 491, 496]"
D4AJR9,457,2,"[130, 135]","[130, 132]"
A8FAP9,230,4,"[12, 14, 40, 189]","[12, 14, 65, 159, 161, 210]"
P10955,505,1,[194],"[100, 434]"
L0DSL2,553,35,"[42, 45, 46, 58, 63, 66, 67, 72, 94, 97, 98, 147, 212, 215, 216, 255, 258, 259, 262, 324, 327, 328, 330, 331, 386, 388, 400, 407, 410, 411, 426, 439, 442, 443, 519]","[110, 216, 389, 391, 519]"
P50139,332,9,"[176, 187, 189, 192, 236, 248, 250, 271, 276]","[188, 248, 324]"
P94544,570,11,"[193, 195, 240, 339, 341, 371, 410, 437, 465, 526, 528]","[242, 267, 341, 346, 371, 410, 412, 437, 465, 528]"
Q7Y220,649,3,"[422, 483, 593]","[422, 483, 593]"
O87393,435,12,"[123, 125, 180, 187, 232, 236, 240, 291, 315, 320, 328, 330]","[125, 315, 328]"
Q6B516,760,6,"[288, 315, 320, 461, 468, 474]","[314, 468]"
P44176,274,9,"[8, 10, 15, 40, 65, 76, 190, 247, 249]","[8, 10, 40, 41, 76, 190, 247, 249]"
P23857,104,2,"[67, 93]","[67, 68]"
Q9FFB6,291,24,"[27, 29, 40, 41, 47, 50, 51, 66, 78, 81, 91, 94, 103, 106, 119, 120, 123, 126, 136, 137, 140, 143, 152, 154]","[66, 119, 152, 184, 187, 268]"
Q01402,233,7,"[93, 141, 169, 175, 186, 196, 199]","[93, 196, 199, 210]"
G3KIM8,394,5,"[144, 282, 293, 377, 378]","[170, 377]"
P07003,572,9,"[50, 210, 292, 297, 382, 433, 460, 462, 465]","[380, 465]"
P54746,877,4,"[14, 16, 126, 338]","[16, 92, 126, 222, 338, 344, 345, 527]"
Q09693,506,3,"[355, 357, 419]","[419, 506]"
Q8W566,337,5,"[133, 135, 234, 291, 296]","[142, 291]"
F4HWL4,748,5,"[564, 568, 571, 586, 626]","[245, 248, 623, 626]"
P82902,52,1,[44],[1]
Q20443,441,2,"[60, 158]","[158, 160, 163]"
O74429,920,8,"[123, 197, 204, 223, 260, 274, 276, 321]","[258, 260, 396]"
E1WKT5,318,8,"[75, 90, 110, 142, 176, 236, 278, 302]","[49, 50, 110, 147, 176, 274, 302]"
Q9AL94,54,4,"[6, 9, 39, 42]","[11, 19, 42]"
Q949R4,269,4,"[12, 50, 173, 229]","[12, 50, 116, 117, 173, 229]"
Q22710,414,4,"[154, 155, 158, 164]","[154, 155, 158, 164, 168, 220, 275]"
P90518,719,12,"[350, 352, 364, 366, 369, 432, 433, 501, 544, 579, 586, 653]","[152, 350, 368, 544, 684]"
P44570,241,3,"[160, 209, 213]","[94, 151, 160, 203, 209, 213]"
B2KES3,221,5,"[61, 131, 146, 164, 167]",[164]
C4JUE5,349,4,"[52, 72, 74, 123]","[52, 74, 88, 125, 252]"
Q8VZJ9,411,2,"[147, 247]","[147, 247, 252, 289]"
Q93Z01,353,3,"[197, 250, 274]","[32, 247, 248, 250]"
P36069,295,3,"[61, 170, 254]","[61, 170, 254]"
O01775,357,2,"[35, 137]","[137, 139]"
P43154,814,3,"[477, 478, 481]","[478, 549]"
B3PIB0,358,5,"[160, 205, 255, 333, 335]","[160, 255, 332, 335]"
Q4V399,433,4,"[317, 322, 324, 330]",[]
Q95WU5,761,3,"[622, 706, 738]","[622, 623, 706, 708]"
S0DPM1,530,1,[464],"[320, 464]"
Q12305,139,1,[98],"[98, 100, 103]"
A9CKY2,276,6,"[111, 113, 116, 191, 213, 259]","[111, 113, 115, 191, 213, 259]"
P22857,394,9,"[54, 57, 180, 216, 219, 244, 254, 256, 285]","[54, 57, 88, 180, 182, 216, 219, 244, 254, 256, 285]"
P16692,252,11,"[21, 23, 26, 76, 78, 80, 81, 143, 164, 222, 225]","[19, 21, 23, 26, 54, 76, 78, 80, 81, 143, 164, 200, 222, 225]"
Q9U1Y5,476,3,"[199, 301, 322]","[301, 303, 342]"
K0KPV8,393,3,"[122, 146, 296]","[56, 122, 146, 296]"
O31544,287,2,"[222, 242]","[222, 242, 283]"
P10475,499,7,"[65, 96, 131, 169, 231, 257, 291]","[92, 168, 169, 229, 231, 257, 371]"
Q39054,670,6,"[485, 486, 541, 573, 600, 607]","[122, 199, 666]"
Q11001,990,5,"[357, 358, 361, 380, 444]","[324, 357, 358, 361, 380, 444]"
B5BLW5,306,3,"[156, 251, 281]","[156, 157, 251, 281]"
P80563,875,1,[175],"[143, 145, 175]"
A2SU30,281,2,"[55, 110]","[53, 55, 110, 141, 146]"
Q2LGB3,718,3,"[239, 340, 358]","[239, 340, 345]"
Q54R82,942,2,"[199, 297]","[297, 299, 302, 608]"
Q9HLE4,268,8,"[62, 66, 78, 87, 102, 207, 209, 230]",[]
Q04399,608,11,"[100, 102, 145, 147, 452, 455, 457, 530, 531, 532, 536]","[100, 102, 145, 147, 452, 455, 457, 530, 531, 532, 536, 600]"
D4GYE6,305,1,[246],"[89, 135, 159, 243, 244, 245, 246]"
A2SQW3,487,5,"[150, 219, 313, 346, 347]","[150, 313, 346, 347]"
Q46EH3,461,3,"[164, 220, 269]","[42, 44, 82, 84, 86, 123, 125, 162, 164, 220, 293]"
Q8W4N3,961,2,"[240, 907]","[235, 240, 907]"
P77324,318,8,"[108, 119, 129, 138, 157, 164, 213, 230]","[129, 138, 157]"
O69981,967,5,"[143, 188, 364, 366, 368]","[160, 189, 364, 368, 377, 666, 698, 944, 954, 960, 966]"
P25037,809,2,"[110, 697]","[105, 110, 697]"
Q5A961,690,2,"[54, 166]","[166, 168]"
P37391,473,6,"[63, 119, 152, 155, 298, 412]","[152, 322, 348, 351, 382, 408, 409, 412]"
Q8N966,263,1,[111],"[130, 133]"
A0A140C435,397,1,[244],[244]
O59272,287,3,"[156, 157, 191]","[7, 156, 160, 164, 242]"
Q9AI65,453,4,"[149, 171, 172, 201]","[149, 171, 172, 201, 267, 292, 371]"
O60109,532,10,"[68, 115, 166, 168, 306, 311, 315, 352, 353, 456]","[115, 353]"
Q84HH8,515,2,"[255, 294]","[157, 255, 294, 399]"
A2QWT2,443,1,[215],"[216, 271]"
A0A0H2WWV6,493,6,"[17, 59, 249, 326, 331, 383]","[249, 331, 403]"
Q5JE80,324,3,"[27, 36, 39]","[27, 36, 39, 82, 113]"
P15636,653,3,"[262, 318, 399]","[262, 318, 397, 399]"
Q54S02,182,10,"[46, 50, 56, 95, 99, 109, 124, 129, 165, 168]","[50, 56, 95, 99, 109]"
P44679,136,1,[18],[36]
Q8RWN7,856,4,"[307, 308, 763, 826]",[]
Q9HU15,634,1,[281],"[281, 467, 472, 535]"
Q95017,166,1,[93],"[83, 85, 93, 95]"
O54259,118,3,"[18, 63, 67]",[]
Q9UUF3,287,1,[189],"[189, 191, 194, 195]"
Q9NFP1,558,3,"[76, 171, 203]","[76, 154, 171, 203]"
A9AWD5,521,2,"[311, 313]","[32, 347, 393]"
I3RB26,270,1,[41],"[24, 242]"
Q2M405,599,1,[470],"[220, 276, 470]"
Q6FJI9,129,1,[94],[27]
P38278,337,2,"[180, 201]",[43]
C4VBI7,614,4,"[140, 166, 321, 324]","[140, 143, 268, 362, 379]"
Q9RWM1,193,3,"[21, 64, 93]","[21, 175]"
P73881,402,6,"[159, 283, 293, 328, 342, 346]","[161, 203, 209]"
P15704,448,7,"[70, 101, 137, 175, 237, 263, 297]","[4, 6, 97, 174, 175, 235, 237, 263]"
P0AEY3,263,5,"[172, 175, 193, 196, 253]","[21, 23, 58, 91, 95, 96, 98, 168, 172, 175, 193, 196, 257]"
Q8XAC3,377,5,"[125, 191, 212, 223, 269]","[191, 212, 269]"
Q9HZ00,285,4,"[60, 62, 104, 106]","[57, 60, 62, 78, 104, 106]"
Q8Z5I4,257,6,"[23, 104, 109, 128, 129, 234]","[13, 23, 127, 186, 234]"
P9WI63,399,2,"[48, 142]","[48, 142, 144, 147, 181]"
D3JV05,285,3,"[70, 122, 148]","[36, 70, 98, 120, 148]"
Q01738,773,3,"[83, 181, 707]","[181, 627, 707, 750]"
Q04972,425,1,[261],"[120, 155, 208, 212, 215, 260, 261, 325]"
P49594,449,4,"[202, 203, 370, 415]","[5, 204, 283, 369, 370, 415]"
O86042,192,3,"[41, 43, 72]","[3, 17, 41, 43, 74, 76]"
O31619,336,11,"[7, 34, 55, 66, 81, 105, 166, 169, 181, 238, 241]","[81, 125, 166, 169, 181, 261]"
J7FJH2,367,9,"[132, 139, 143, 148, 233, 234, 264, 271, 281]","[99, 143, 148, 233, 234, 263, 267]"
Q12706,436,2,"[120, 215]","[215, 217, 219, 252]"
O34788,346,3,"[37, 70, 152]","[37, 39, 42, 70]"
Q9XB59,273,8,"[101, 103, 104, 130, 251, 253, 263, 267]","[67, 101, 103, 191, 251, 267]"
P45306,695,3,"[459, 470, 484]","[63, 233, 404, 405, 459, 460, 484]"
Q8KCU0,456,3,"[194, 198, 201]","[194, 198, 201, 308]"
P44888,593,1,[453],"[453, 526, 561]"
